ParentElement,ElementName,Type,MinOccurs,MaxOccurs
Root,AtterbergLimitsTest,diggs_geo:AtterbergLimitsTestType,1,1
Root,CasagrandeTrial,diggs_geo:CasagrandeTrialType,1,1
Root,FallConeTrial,diggs_geo:FallConeTrialType,1,1
Root,PlasticLimitTrial,diggs_geo:PlasticLimitTrialType,1,1
Root,ShrinkageLimitTrial,diggs_geo:ShrinkageLimitTrialType,1,1
Root,CompressionIncrement,diggs_geo:CompressionIncrementType,1,1
Root,ConsolidationTest,diggs_geo:ConsolidationTestType,1,1
Root,ConsolidationTestTrial,diggs_geo:ConsolidationTestTrialType,1,1
Root,DsConConsolidationIncrement,diggs_geo:DSConConsoiidationIncrementType,1,1
Root,DirectShearConsolidationLoadingIncrement,diggs_geo:DirectShearConsolidationTrialType,1,1
Root,DirectShearTest,diggs_geo:DirectShearTestType,1,1
Root,DirectShearTestIncrement,diggs_geo:DirectShearTestIncrementType,1,1
Root,DrivenPenetrationTest,diggs_geo:DrivenPenetrationTestType,1,1
Root,DriveSet,diggs_geo:DriveSetType,1,1
Root,DynamicProbeTest,diggs_geo:DynamicProbeTestType,1,1
Root,FlatPlateDilatometerTest,diggs_geo:FlatPlateDilatometerTestType,1,1
Root,InsituCBRTest,diggs_geo:InsituCBRTestType,1,1
Root,CBRIncrement,diggs_geo:CBRIncrementType,1,1
Root,InsituVaneTest,diggs_geo:InsituVaneTestType,1,1
Root,TorqueIncrement,diggs_geo:TorqueIncrementType,1,1
Root,VaneTestMeasurementData,diggs_geo:VaneTestMeasurementDataType,1,1
Root,LabCBRTest,diggs_geo:LabCBRTestType,1,1
Root,LabCBRTestTrial,diggs_geo:LabCBRTestTrialType,1,1
Root,LabCompactionTest,diggs_geo:LabCompactionTestType,1,1
Root,LabCompactionTestTrial,diggs_geo:LabCompactionTestTrialType,1,1
Root,LabChemicalTest,diggs_geo:LabChemicalTestType,1,1
Root,LabResistivityTest,diggs_geo:LabResistivityTestType,1,1
Root,LabDensityTest,diggs_geo:LabDensityTestType,1,1
Root,LabPermeabilityTest,diggs_geo:LabPermeabilityTestType,1,1
Root,LabPermeationTrial,N/A,1,1
Root,PointLoadTest,diggs_geo:PointLoadTestType,1,1
Root,PorePressureDissipationTest,diggs_geo:PorePressureDissipationTestType,1,1
Root,DissipationTimeSeriesResult,diggs_geo:DissipationTimeSeriesResultType,1,1
Root,ppdresults,diggs_geo:ResultsPropertyType,1,1
Root,PpdResultSet,diggs_geo:PpdResultSetType,1,1
Root,parameters,diggs_geo:PpdPropertyInfoPropertyType,1,1
Root,PpdPropertyParameters,diggs_geo:PpdPropertyParametersType,1,1
Root,properties,diggs_geo:PpdPropertiesType,1,1
Root,PorePressureDissipationProperty,diggs_geo:PorePressureDissipationPropertyType,1,1
Root,LabVaneTest,diggs_geo:LabVaneTestType,1,1
Root,LossOnIgnitionTest,diggs_geo:LossOnIgnitionTestType,1,1
Root,MaterialGradationTest,diggs_geo:MaterialGradationTestType,1,1
Root,ParticleSizeTest,diggs_geo:ParticleSizeTestType,1,1
Root,Grading,diggs_geo:GradingType,1,1
Root,gradingData,diggs_geo:GradingPropertyType,1,1
Root,Hydrometer,diggs_geo:HydrometerType,1,1
Root,PanData,diggs_geo:PanDataType,1,1
Root,Sedimentation,diggs_geo:SedimentationType,1,1
Root,SieveAnalysis,diggs_geo:SieveAnalysisType,1,1
Root,EnvironmentalScreeningTest,diggs_geo:EnvironmentalScreeningTestType,1,1
Root,SpecificGravityTest,diggs_geo:SpecificGravityTestType,1,1
Root,StaticConePenetrationTest,diggs_geo:StaticConePenetrationTestType,1,1
Root,PorePressureElement,diggs_geo:PorePressureElementType,1,1
Root,UnconfinedCompressiveStrengthTest,diggs_geo:UnconfinedCompressiveStrengthTestType,1,1
Root,WaterContentTest,diggs_geo:WaterContentTestType,1,1
Root,HeatingCycleParameters,diggs_geo:HeatingCycleParametersType,1,1
Root,WirelineLog,diggs_geo:WirelineLogType,1,1
Root,PocketPenetrometerTest,diggs_geo:PocketPenetrometerTestType,1,1
Root,RedoxTest,diggs_geo:RedoxTestType,1,1
